Latitude,Longitude,PlaneModel,PlaneAirlines
35.859749,14.481237,Dassault Falcon 2000LX S,Jet Aviation Business Jets AG
-6.036429,106.653332,,
22.599064,114.0212,Airbus A319 133,China Eastern Airlines
25.853157,-78.07112,Avions de Transport Regional ATR 42 600,Bahamasair
24.268845,55.559105,Boeing 737NG 800/W,Oman Air
43.849869,-69.389267,1981 CESSNA 402C,"HYANNIS AIR SERVICE INC     - HYANNIS, MA"
30.99164,121.57361,Airbus A321 211SL,China Southern Airlines
5.579178,-75.077866,Airbus A319 132,LATAM Airlines
41.074001,-73.793198,2004 AIRBUS A320-232,JetBlue Airways
25.024612,45.600025,Airbus A321 231,Gulf Air
40.558453,140.525253,Boeing 737NG 846/W,Japan Airlines
-32.041533,115.993596,Boeing 787 9,Air New Zealand
60.022686,11.184867,Airbus A320 251NSL,Scandinavian Airlines Ireland
48.687927,9.196771,Boeing 737NG 8K5/W,TUIfly
39.200089,-76.81073,1994 AIRBUS INDUSTRIE A300F4-605R,FedEx
44.899521,-63.637783,Boeing 737NG 7CT/W,WestJet
41.9434,-87.9845,2002 BOMBARDIER INC CL-600-2B19,"US BANK NA TRUSTEE     - BOSTON, MA"
37.563374,15.383964,Airbus A319 112,Eurowings
38.577886,116.416992,Boeing 737NG 89L/W,Air China
-16.579905,-47.511112,Embraer Legacy 600 VC-99B,Brazilian Air Force
40.64583,-73.770884,2013 EMBRAER ERJ 190-100 IGW,JetBlue Airways
-31.47995,116.060272,Airbus A320 232,Virgin Australia Regional Airlines
33.89743,108.72454,Airbus A320 232,Sichuan Airlines
30.392607,119.50499,Airbus A320 232,China Southern Airlines
40.204514,116.58563,Airbus A321 231,China Eastern Airlines
28.145622,79.17938,Boeing 737NG 8GJ/W,Spicejet
-6.286368,106.848481,Boeing 737NG 8GP/W,Batik Air
3.155045,99.688591,Boeing 737NG 8GP/W,Lion Air
25.183132,121.28445,Boeing 737NG 87L/W,Shenzhen Airlines
42.283211,-71.127788,Boeing 777 236,British Airways
40.6151,-73.6411,BOEING 737-832,Delta Air Lines
43.255737,4.665613,Boeing 737 377,Jet2
64.478577,11.565637,Aerospool WT9 Dynamic RG,Private
26.655396,-81.783833,2005 PILATUS AIRCRAFT LTD PC-12/45,"RLH SERVICES LLC     - DENVER, CO"
32.757227,-96.748128,Boeing 737MAX 8,Southwest Airlines
53.471558,-6.680158,Boeing 757 2Q8/W,Aer Lingus
41.734818,-87.646928, BOEING 737-76N,Southwest Airlines
41.069046,-73.766846,2007 DIAMOND AIRCRAFT IND INC DA20-C1,"COHEN STEVEN B     - INDIAN ROCKS BEACH, FL"
42.075165,-83.405396,1985 MCDONNELL DOUGLAS MD-10-30F,FedEx
-34.776428,-58.681519,Airbus A330 203,Aerolíneas Argentinas
50.905991,5.716095,Evektor EV-97 Sportstar RTC,Private
30.664499,-81.650398,2009 BOEING 737-7H4,Southwest Airlines
31.209892,121.33375,Airbus A330 302,EVA Air
36.0181,-83.9547,2001 EMBRAER EMB-145LR,"WELLS FARGO BANK NORTHWEST NA TRUSTEE     - SALT LAKE CITY, UT"
52.760305,-1.178441,Boeing 737 3Q8QC,Jet2
48.255258,11.739325,Airbus A330 343E,Air China
34.51611,111.31949,Boeing 737NG 85N/W,Shandong Airlines
26.279623,-81.660796,2006 CESSNA 680,"MIRAMONTE AVIATION LLC     - HEBRON, OH"
51.115616,3.467636,,
49.057865,2.37536,Boeing 777 328ER,Air France
